incnum,offense,offensecode,offensetype,category,year,blockcode,ward,police_shift,day_and_month
100000078,Murder/Nonnegligent Manslaghter,09A,Homicide Offenses,Crimes against Person,2023,,,,
100000079,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2018,,,,
100000080,Simple Assault,13B,Assault Offenses,Crimes against Person,2018,,,,
100000081,Simple Assault,13B,Assault Offenses,Crimes against Person,2018,,,,
100000082,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2021,,,,
100000083,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000084,Simple Assault,13B,Assault Offenses,Crimes against Person,2024,,,,
100000085,All Other Offenses,90Z,All Other Offenses,Other,2018,,,,
100000086,Simple Assault,13B,Assault Offenses,Crimes against Person,2020,,,,
100000087,Pornography/Obscene Material,370,Pornography/Obscene Material,Crimes against Society,2020,,,,
100000088,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,,,,
100000089,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2024,,,,
100000090,Simple Assault,13B,Assault Offenses,Crimes against Person,2020,,,,
100000091,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2025,,,,
100000092,Simple Assault,13B,Assault Offenses,Crimes against Person,2024,,,,
100000093,Driving Under The Influence,90D,Driving Under The Influence,Other,2020,,,,
100000094,Simple Assault,13B,Assault Offenses,Crimes against Person,2020,,,,
100000095,Simple Assault,13B,Assault Offenses,Crimes against Person,2024,,,,
100000096,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000097,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2022,,,,
100000098,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000099,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000100,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2021,,,,
100000101,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000102,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2017,,,,
100000103,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2017,,,,
100000104,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2025,,,,
100000105,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,,,,
100000106,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2022,,,,
100000107,All Other Offenses,90Z,All Other Offenses,Other,2024,,,,
100000108,Kidnapping/Abduction,100,Kidnapping/Abduction,Crimes against Person,2024,,,,
100000109,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2019,,,,
100000110,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000111,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000112,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000113,Pornography/Obscene Material,370,Pornography/Obscene Material,Crimes against Society,2024,,,,
100000114,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000115,Simple Assault,13B,Assault Offenses,Crimes against Person,2025,,,,
100000116,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000117,Pornography/Obscene Material,370,Pornography/Obscene Material,Crimes against Society,2023,,,,
100000118,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2023,,,,
100000119,Simple Assault,13B,Assault Offenses,Crimes against Person,2024,,,,
100000120,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000121,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000122,Pornography/Obscene Material,370,Pornography/Obscene Material,Crimes against Society,2020,,,,
100000123,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000124,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2022,,,,
100000125,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2019,,,,
100000126,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2022,,,,
100000127,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000128,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000129,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000130,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2021,,,,
100000131,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2023,,,,
100000132,Simple Assault,13B,Assault Offenses,Crimes against Person,2018,,,,
100000133,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000134,Intimidation,13C,Assault Offenses,Crimes against Person,2018,,,,
100000135,Simple Assault,13B,Assault Offenses,Crimes against Person,2020,,,,
100000136,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000137,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2020,,,,
100000138,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2018,,,,
100000139,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000140,Simple Assault,13B,Assault Offenses,Crimes against Person,2020,,,,
100000141,Simple Assault,13B,Assault Offenses,Crimes against Person,2020,,,,
100000142,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2022,,,,
100000143,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000144,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2024,,,,
100000145,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2022,,,,
100000146,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2024,,,,
100000147,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2021,,,,
100000148,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000149,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000150,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2019,,,,
100000151,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2022,,,,
100000152,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000153,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2023,,,,
100000154,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000155,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2022,,,,
100000156,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2020,,,,
100000157,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2021,,,,
100000158,Simple Assault,13B,Assault Offenses,Crimes against Person,2018,,,,
100000159,Simple Assault,13B,Assault Offenses,Crimes against Person,2020,,,,
100000160,Simple Assault,13B,Assault Offenses,Crimes against Person,2025,,,,
100000161,All Other Offenses,90Z,All Other Offenses,Other,2018,,,,
100000162,Simple Assault,13B,Assault Offenses,Crimes against Person,2024,,,,
100000163,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000164,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2020,,,,
100000165,Simple Assault,13B,Assault Offenses,Crimes against Person,2018,,,,
100000166,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,,,,
100000167,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2022,,,,
100000168,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2024,,,,
100000169,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000170,Intimidation,13C,Assault Offenses,Crimes against Person,2021,,,,
100000171,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000172,All Other Offenses,90Z,All Other Offenses,Other,2024,,,,
100000173,Kidnapping/Abduction,100,Kidnapping/Abduction,Crimes against Person,2022,,,,
100000174,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000175,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000176,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2024,,,,
100000177,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2019,,,,
100000178,Trespass Of Real Property,90J,Trespass Of Real Property,Other,2025,,,,
100000179,Simple Assault,13B,Assault Offenses,Crimes against Person,2025,,,,
100000180,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000181,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2017,,,,
100000182,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000183,Simple Assault,13B,Assault Offenses,Crimes against Person,2025,,,,
100000184,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2023,,,,
100000185,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2019,,,,
100000186,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2025,,,,
100000187,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2022,,,,
100000188,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2021,,,,
100000189,Pornography/Obscene Material,370,Pornography/Obscene Material,Crimes against Society,2018,,,,
100000190,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000191,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2021,,,,
100000192,Simple Assault,13B,Assault Offenses,Crimes against Person,2020,,,,
100000193,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2024,,,,
100000194,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2019,,,,
100000195,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2020,,,,
100000196,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2020,,,,
100000197,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2022,,,,
100000198,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2021,,,,
100000199,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2024,,,,
100000200,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2024,,,,
100000201,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000202,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2024,,,,
100000203,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2023,,,,
100000204,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000205,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000206,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2017,,,,
100000207,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000208,Motor Vehicle Theft,240,Motor Vehicle Theft,Crimes against Property,2023,,,,
100000209,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2021,,,,
100000210,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2023,,,,
100000211,All Other Offenses,90Z,All Other Offenses,Other,2023,,,,
100000212,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000213,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,,,,
100000214,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2019,,,,
100000215,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000216,Simple Assault,13B,Assault Offenses,Crimes against Person,2024,,,,
100000217,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000218,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000219,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2018,,,,
100000220,Simple Assault,13B,Assault Offenses,Crimes against Person,2024,,,,
100000221,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2022,,,,
100000222,Kidnapping/Abduction,100,Kidnapping/Abduction,Crimes against Person,2019,,,,
100000223,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000224,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2019,,,,
100000225,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000226,Pornography/Obscene Material,370,Pornography/Obscene Material,Crimes against Society,2023,,,,
