incnum,offense,offensecode,offensetype,category,year,blockcode,ward,police_shift,day_and_month
17023868,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173501061008,1              ,Last Half (Midnight - 8AM),4/24
17023880,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2017,250173509003001,6              ,Last Half (Midnight - 8AM),4/24
17024085,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173515001007,2              ,Last Half (Midnight - 8AM),4/25
17024091,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,250173515003012,2              ,Last Half (Midnight - 8AM),4/25
17024160,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501071010,1              ,Day Shift (8AM - 4PM),4/25
17024190,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173509003001,6              ,First Half (4PM - Midnight),4/25
17024214,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173507012007,7              ,First Half (4PM - Midnight),4/25
17024340,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2017,250173501082006,4              ,Day Shift (8AM - 4PM),4/26
17024346,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2017,250173510023000,5              ,Day Shift (8AM - 4PM),4/26
17024350,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061014,1              ,Day Shift (8AM - 4PM),4/26
17024414,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173501051016,4              ,First Half (4PM - Midnight),4/26
17024492,Disorderly Conduct,90C,Disorderly Conduct,Other,2017,250173515003002,2              ,Day Shift (8AM - 4PM),4/27
17024537,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173512042006,2              ,Day Shift (8AM - 4PM),4/27
17024591,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2017,250173512041003,2              ,First Half (4PM - Midnight),4/27
17024596,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061014,1              ,First Half (4PM - Midnight),4/27
17024719,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173513001000,3              ,Day Shift (8AM - 4PM),4/28
17024721,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173513001000,3              ,Day Shift (8AM - 4PM),4/28
17024755,Counterfeiting/Forgery,250,Counterfeiting/Forgery,Crimes against Property,2017,250173501071014,1              ,Day Shift (8AM - 4PM),4/28
17024799,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173510013000,5              ,First Half (4PM - Midnight),4/28
17024858,Disorderly Conduct,90C,Disorderly Conduct,Other,2017,250173513003005,3              ,First Half (4PM - Midnight),4/28
17024878,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501061005,1              ,First Half (4PM - Midnight),4/28
17024991,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173506002007,7              ,Day Shift (8AM - 4PM),4/29
17025020,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173506002007,7              ,Day Shift (8AM - 4PM),4/29
17025057,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173515003010,2              ,First Half (4PM - Midnight),4/29
17025202,Disorderly Conduct,90C,Disorderly Conduct,Other,2017,250173503003000,5              ,Day Shift (8AM - 4PM),4/30
17025212,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173512041001,2              ,Day Shift (8AM - 4PM),4/30
17025217,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501091020,4              ,Day Shift (8AM - 4PM),4/30
17025248,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173396006009,5              ,Day Shift (8AM - 4PM),4/30
17025300,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173501061014,1              ,First Half (4PM - Midnight),4/30
17025418,Credit Card/Atm Machine Fraud,26B,Fraud Offenses,Crimes against Property,2017,250173512041008,2              ,Day Shift (8AM - 4PM),5/1
17025432,Robbery,120,Robbery,Crimes against Property,2017,250173501071005,1              ,Day Shift (8AM - 4PM),5/1
17025443,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501091019,4              ,Day Shift (8AM - 4PM),5/1
17025484,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2017,250173512041001,2              ,First Half (4PM - Midnight),5/1
17025492,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061014,1              ,First Half (4PM - Midnight),5/1
17025514,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173507011004,6              ,First Half (4PM - Midnight),5/1
17025592,Credit Card/Atm Machine Fraud,26B,Fraud Offenses,Crimes against Property,2017,250173515001007,2              ,Day Shift (8AM - 4PM),5/2
17025597,Robbery,120,Robbery,Crimes against Property,2017,250173512042000,2              ,Day Shift (8AM - 4PM),5/2
17025683,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501061007,1              ,First Half (4PM - Midnight),5/2
17025821,Credit Card/Atm Machine Fraud,26B,Fraud Offenses,Crimes against Property,2017,250173514043000,1              ,Day Shift (8AM - 4PM),5/3
17025824,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061015,1              ,Day Shift (8AM - 4PM),5/3
17025827,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173513003005,3              ,Day Shift (8AM - 4PM),5/3
17025847,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061014,1              ,First Half (4PM - Midnight),5/3
17025870,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501091018,4              ,First Half (4PM - Midnight),5/3
17025874,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173514031001,1              ,First Half (4PM - Midnight),5/3
17025905,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173511011003,5              ,First Half (4PM - Midnight),5/3
17025996,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2017,250173515003005,2              ,Day Shift (8AM - 4PM),5/4
17026061,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501091020,4              ,Day Shift (8AM - 4PM),5/4
17026065,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,250173513002010,3              ,First Half (4PM - Midnight),5/4
17026134,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2017,250173501082001,4              ,First Half (4PM - Midnight),5/4
17026169,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173501082012,4              ,Last Half (Midnight - 8AM),5/5
17026282,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061014,1              ,Day Shift (8AM - 4PM),5/5
17026300,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061004,1              ,Day Shift (8AM - 4PM),5/5
17026307,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173511012003,3              ,Day Shift (8AM - 4PM),5/5
17026322,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173515003005,2              ,First Half (4PM - Midnight),5/5
17026518,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501091018,4              ,First Half (4PM - Midnight),5/6
17026521,Counterfeiting/Forgery,250,Counterfeiting/Forgery,Crimes against Property,2017,250173514044000,1              ,First Half (4PM - Midnight),5/6
17026575,Driving Under The Influence,90D,Driving Under The Influence,Other,2017,250173501091016,1              ,First Half (4PM - Midnight),5/6
17026672,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173501081004,4              ,Day Shift (8AM - 4PM),5/7
17026684,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501051005,4              ,Day Shift (8AM - 4PM),5/7
17026791,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173510013002,5              ,Last Half (Midnight - 8AM),5/8
17026826,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173510023004,3              ,Day Shift (8AM - 4PM),5/8
17026838,Credit Card/Atm Machine Fraud,26B,Fraud Offenses,Crimes against Property,2017,250173511013007,3              ,Day Shift (8AM - 4PM),5/8
17027014,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173513002004,3              ,Last Half (Midnight - 8AM),5/9
17027071,Credit Card/Atm Machine Fraud,26B,Fraud Offenses,Crimes against Property,2017,250173509002007,6              ,Day Shift (8AM - 4PM),5/9
17027103,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173514043005,1              ,Day Shift (8AM - 4PM),5/9
17027158,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173508001001,6              ,Day Shift (8AM - 4PM),5/9
17027195,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173501061014,1              ,First Half (4PM - Midnight),5/9
17027264,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173501061016,1              ,Last Half (Midnight - 8AM),5/10
17027283,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2017,250173511012005,3              ,Last Half (Midnight - 8AM),5/10
17027420,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173501061004,1              ,First Half (4PM - Midnight),5/10
17027447,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173511013006,3              ,First Half (4PM - Midnight),5/10
17027464,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173511013006,3              ,First Half (4PM - Midnight),5/10
17027488,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173512034005,2              ,First Half (4PM - Midnight),5/10
17027543,Robbery,120,Robbery,Crimes against Property,2017,250173515003005,2              ,Last Half (Midnight - 8AM),5/11
17027552,Counterfeiting/Forgery,250,Counterfeiting/Forgery,Crimes against Property,2017,250173501071014,1              ,Day Shift (8AM - 4PM),5/11
17027614,Pocket-Picking,23A,Larceny/Theft Offenses,Crimes against Property,2017,250173501061008,1              ,Day Shift (8AM - 4PM),5/11
17027668,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173502023006,4              ,Day Shift (8AM - 4PM),5/11
17027682,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173506004006,6              ,First Half (4PM - Midnight),5/11
17027701,All Other Offenses,90Z,All Other Offenses,Other,2017,250173515003005,2              ,First Half (4PM - Midnight),5/11
17027704,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173512034005,2              ,First Half (4PM - Midnight),5/11
17027710,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173501051016,4              ,First Half (4PM - Midnight),5/11
17027716,All Other Offenses,90Z,All Other Offenses,Other,2017,250173502023005,4              ,First Half (4PM - Midnight),5/11
17027829,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173514033003,1              ,Day Shift (8AM - 4PM),5/12
17027839,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061008,1              ,Day Shift (8AM - 4PM),5/12
17027981,Driving Under The Influence,90D,Driving Under The Influence,Other,2017,250173501091021,4              ,First Half (4PM - Midnight),5/12
17028070,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,250173512042007,2              ,Day Shift (8AM - 4PM),5/13
17028078,Pocket-Picking,23A,Larceny/Theft Offenses,Crimes against Property,2017,250173501061016,1              ,Day Shift (8AM - 4PM),5/13
17028085,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173505001007,6              ,Day Shift (8AM - 4PM),5/13
17028093,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173514041004,1              ,Day Shift (8AM - 4PM),5/13
17028094,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173512031000,2              ,Day Shift (8AM - 4PM),5/13
17028095,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2017,250173503003000,5              ,Day Shift (8AM - 4PM),5/13
17028147,Disorderly Conduct,90C,Disorderly Conduct,Other,2017,250173501082003,4              ,First Half (4PM - Midnight),5/13
17028165,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173514044004,1              ,First Half (4PM - Midnight),5/13
17028170,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173501061014,1              ,First Half (4PM - Midnight),5/13
17028197,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2017,250173514043001,1              ,Last Half (Midnight - 8AM),5/14
17028201,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173514043002,1              ,Last Half (Midnight - 8AM),5/14
17028285,Credit Card/Atm Machine Fraud,26B,Fraud Offenses,Crimes against Property,2017,250173511013009,3              ,First Half (4PM - Midnight),5/14
17028318,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173503003007,5              ,First Half (4PM - Midnight),5/14
17028368,Trespass Of Real Property,90J,Trespass Of Real Property,Other,2017,250173515003005,2              ,Last Half (Midnight - 8AM),5/15
17028459,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061015,1              ,Day Shift (8AM - 4PM),5/15
17028477,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2017,250173503002003,5              ,First Half (4PM - Midnight),5/15
17028571,Robbery,120,Robbery,Crimes against Property,2017,250173514043002,1              ,Last Half (Midnight - 8AM),5/16
17028679,Robbery,120,Robbery,Crimes against Property,2017,250173515001000,2              ,Day Shift (8AM - 4PM),5/16
17028685,Counterfeiting/Forgery,250,Counterfeiting/Forgery,Crimes against Property,2017,250173513002010,3              ,Day Shift (8AM - 4PM),5/16
17028686,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501061008,1              ,Day Shift (8AM - 4PM),5/16
17028737,Pocket-Picking,23A,Larceny/Theft Offenses,Crimes against Property,2017,250173503003000,5              ,Day Shift (8AM - 4PM),5/16
17028751,Drug/Narcotic Violations,35A,Drug/Narcotics Offenses,Crimes against Society,2017,250173501082006,4              ,First Half (4PM - Midnight),5/16
17028797,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,250173514041004,1              ,First Half (4PM - Midnight),5/16
17028819,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173503001001,5              ,First Half (4PM - Midnight),5/16
17028935,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173515003005,2              ,Day Shift (8AM - 4PM),5/17
17028946,All Other Offenses,90Z,All Other Offenses,Other,2017,250173501082009,4              ,Day Shift (8AM - 4PM),5/17
17028981,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173504001003,6              ,Day Shift (8AM - 4PM),5/17
17028990,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,250173503003004,5              ,Day Shift (8AM - 4PM),5/17
17029010,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173504001000,6              ,First Half (4PM - Midnight),5/17
17029062,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173513001000,1              ,First Half (4PM - Midnight),5/17
17029087,Motor Vehicle Theft,240,Motor Vehicle Theft,Crimes against Property,2017,250173502021004,5              ,First Half (4PM - Midnight),5/17
17029095,Drug/Narcotic Violations,35A,Drug/Narcotics Offenses,Crimes against Society,2017,250173511013004,3              ,Last Half (Midnight - 8AM),5/18
17029135,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501061008,1              ,Last Half (Midnight - 8AM),5/18
17029254,All Other Offenses,90Z,All Other Offenses,Other,2017,250173502012000,4              ,First Half (4PM - Midnight),5/18
17029385,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173512041007,2              ,Day Shift (8AM - 4PM),5/19
17029417,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173501081004,4              ,Day Shift (8AM - 4PM),5/19
17029512,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173501071014,1              ,First Half (4PM - Midnight),5/19
17029529,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2017,250173509003013,6              ,First Half (4PM - Midnight),5/19
17029553,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173510013004,5              ,First Half (4PM - Midnight),5/19
17029556,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173501061014,1              ,First Half (4PM - Midnight),5/19
17029610,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173515003010,2              ,Last Half (Midnight - 8AM),5/20
17029618,All Other Offenses,90Z,All Other Offenses,Other,2017,250173502012000,4              ,Last Half (Midnight - 8AM),5/20
17029775,All Other Offenses,90Z,All Other Offenses,Other,2017,250173514034000,1              ,First Half (4PM - Midnight),5/20
17029866,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173514031000,1              ,Day Shift (8AM - 4PM),5/21
17029979,Robbery,120,Robbery,Crimes against Property,2017,250173515003003,2              ,First Half (4PM - Midnight),5/21
17030043,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173501061003,1              ,Last Half (Midnight - 8AM),5/22
17030163,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173501082009,4              ,Day Shift (8AM - 4PM),5/22
17030219,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2017,250173501091009,4              ,First Half (4PM - Midnight),5/22
17030314,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173515003005,2              ,Last Half (Midnight - 8AM),5/23
17030331,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501091020,4              ,Last Half (Midnight - 8AM),5/23
17030431,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2017,250173510023000,5              ,Day Shift (8AM - 4PM),5/23
17030437,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173509003006,6              ,Day Shift (8AM - 4PM),5/23
17030512,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173501061015,1              ,First Half (4PM - Midnight),5/23
17030516,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173507022001,7              ,First Half (4PM - Midnight),5/23
17030557,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173505001000,6              ,First Half (4PM - Midnight),5/23
17030666,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173514042006,4              ,Day Shift (8AM - 4PM),5/24
17030703,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173510012009,2              ,Day Shift (8AM - 4PM),5/24
17030780,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173508002007,7              ,First Half (4PM - Midnight),5/24
17030967,Counterfeiting/Forgery,250,Counterfeiting/Forgery,Crimes against Property,2017,250173501061015,1              ,First Half (4PM - Midnight),5/25
17030968,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173513001004,3              ,First Half (4PM - Midnight),5/25
17030972,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173514044004,1              ,First Half (4PM - Midnight),5/25
17030977,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173501061016,1              ,First Half (4PM - Midnight),5/25
17031130,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2017,250173514043002,1              ,Day Shift (8AM - 4PM),5/26
17031273,Driving Under The Influence,90D,Driving Under The Influence,Other,2017,250173510023000,5              ,Last Half (Midnight - 8AM),5/27
17031328,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2017,250173503001005,5              ,Day Shift (8AM - 4PM),5/27
17031331,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173514043006,1              ,Day Shift (8AM - 4PM),5/27
17031381,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173515003003,2              ,First Half (4PM - Midnight),5/27
17031430,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173509003002,6              ,First Half (4PM - Midnight),5/27
17031432,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173501061003,1              ,First Half (4PM - Midnight),5/27
17031576,Trespass Of Real Property,90J,Trespass Of Real Property,Other,2017,250173501061001,1              ,Day Shift (8AM - 4PM),5/28
17031618,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2017,250173501061015,1              ,First Half (4PM - Midnight),5/28
17031685,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2017,250173503003000,5              ,First Half (4PM - Midnight),5/28
17031727,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,250173515003003,2              ,Last Half (Midnight - 8AM),5/29
17031731,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173515004004,1              ,Last Half (Midnight - 8AM),5/29
17031786,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173502023004,4              ,Day Shift (8AM - 4PM),5/29
17031794,All Other Offenses,90Z,All Other Offenses,Other,2017,250173512042012,2              ,Day Shift (8AM - 4PM),5/29
17031848,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061008,1              ,First Half (4PM - Midnight),5/29
17031850,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173515003003,2              ,First Half (4PM - Midnight),5/29
17031929,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501082002,4              ,Last Half (Midnight - 8AM),5/30
17032005,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173501091023,4              ,Day Shift (8AM - 4PM),5/30
17032052,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173501081014,4              ,Day Shift (8AM - 4PM),5/30
17032080,Robbery,120,Robbery,Crimes against Property,2017,250173509003000,6              ,Day Shift (8AM - 4PM),5/30
17032136,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173509002006,6              ,First Half (4PM - Midnight),5/30
17032155,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173509003000,6              ,First Half (4PM - Midnight),5/30
17032184,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2017,250173512042004,2              ,Last Half (Midnight - 8AM),5/31
17032191,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173509001007,6              ,Last Half (Midnight - 8AM),5/31
17032195,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173514033000,1              ,Last Half (Midnight - 8AM),5/31
17032196,All Other Offenses,90Z,All Other Offenses,Other,2017,250173502022008,4              ,Last Half (Midnight - 8AM),5/31
17032198,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173504001005,6              ,Last Half (Midnight - 8AM),5/31
17032219,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173502013004,1              ,Last Half (Midnight - 8AM),5/31
17032277,Robbery,120,Robbery,Crimes against Property,2017,250173515004004,1              ,Day Shift (8AM - 4PM),5/31
17032328,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173501061016,1              ,First Half (4PM - Midnight),5/31
17032373,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2017,250173504001003,6              ,First Half (4PM - Midnight),5/31
17032445,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173512042002,2              ,Last Half (Midnight - 8AM),6/1
17032491,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173514034003,1              ,Day Shift (8AM - 4PM),6/1
17032503,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,250173501091019,4              ,Day Shift (8AM - 4PM),6/1
17032548,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061014,1              ,Day Shift (8AM - 4PM),6/1
17032561,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2017,250173501061014,1              ,Day Shift (8AM - 4PM),6/1
17032574,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173512041003,2              ,Day Shift (8AM - 4PM),6/1
17032578,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173501091009,4              ,First Half (4PM - Midnight),6/1
17032617,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173512042001,2              ,First Half (4PM - Midnight),6/1
17032623,Disorderly Conduct,90C,Disorderly Conduct,Other,2017,250173513003000,3              ,First Half (4PM - Midnight),6/1
17032626,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173514031001,1              ,First Half (4PM - Midnight),6/1
17032772,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061016,1              ,Day Shift (8AM - 4PM),6/2
17032820,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2017,250173501061004,1              ,First Half (4PM - Midnight),6/2
17033008,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173513003003,3              ,Day Shift (8AM - 4PM),6/3
17033010,Counterfeiting/Forgery,250,Counterfeiting/Forgery,Crimes against Property,2017,250173513002010,3              ,Day Shift (8AM - 4PM),6/3
17033018,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173512042005,2              ,Day Shift (8AM - 4PM),6/3
17033019,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173512042008,2              ,Day Shift (8AM - 4PM),6/3
17033058,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2017,250173501082000,4              ,Day Shift (8AM - 4PM),6/3
17033086,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173509003002,6              ,First Half (4PM - Midnight),6/3
17033229,Driving Under The Influence,90D,Driving Under The Influence,Other,2017,250173515003010,2              ,Day Shift (8AM - 4PM),6/4
17033307,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173503003000,5              ,Day Shift (8AM - 4PM),6/4
17033324,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173505001006,6              ,First Half (4PM - Midnight),6/4
17033355,Disorderly Conduct,90C,Disorderly Conduct,Other,2017,250173501061015,1              ,First Half (4PM - Midnight),6/4
17033507,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2017,250173507022001,7              ,Day Shift (8AM - 4PM),6/5
17033626,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2017,250173515003010,2              ,Day Shift (8AM - 4PM),6/6
17033676,Trespass Of Real Property,90J,Trespass Of Real Property,Other,2017,250173501071010,1              ,Day Shift (8AM - 4PM),6/6
17033690,Drug/Narcotic Violations,35A,Drug/Narcotics Offenses,Crimes against Society,2017,250173501071007,1              ,First Half (4PM - Midnight),6/6
17033705,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2017,250173511013004,3              ,First Half (4PM - Midnight),6/6
